species,scientific_name,fishmeal_percent,fish_oil_percent,type,fishmeal_yield_percent,fishoil_yield_percent,country_origin,year,source
Blue whiting,Micromesistius poutassou,31.3,4,whole_fish,23,6,"DENMARK, ICELAND, NORWAY",2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Sandeel,Ammodytes marinus,20.8,13.3,whole_fish,23,6,DENMARK,2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Sprat,Sprattus sprattus,16.2,10.7,whole_fish,23,6,"DENMARK, NORWAY",2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Norway pout,Trisopterus esmarkii,9.2,4.3,whole_fish,23,6,"DENMARK, NORWAY",2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Herring,Clupea harengus,6.4,10.4,whole_fish,23,6,"DENMARK, NORWAY",2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Mackerel,Scomber scombrus,0.8,3.8,whole_fish,23,6,"DENMARK, NORWAY",2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Sprat,Sprattus sprattus,0.6,0.5,whole_fish,23,6,DENMARK,2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Horse mackerel,Trachurus trachurus,0.2,0,whole_fish,23,6,NORWAY,2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Pacific anchoveta,Cetengraulis mysticetus,0,4.2,whole_fish,23,6,PANAMA,2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Peruvian anchoveta,Engraulis ringens,0,24,whole_fish,23,6,PERU,2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Menhaden,Brevoortia patronus,0,7.4,whole_fish,23,6,USA,2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Other,Other,0.7,0.7,whole_fish,23,6,,2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Herring,Clupea harengus,9.5,7.8,trimmings,,,"DENMARK, ICELAND, NORWAY",2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Mackerel,Scomber scombrus,2.1,3.2,trimmings,,,"DENMARK, ICELAND, NORWAY",2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Menhaden,Brevoortia patronus,0,1.7,trimmings,,,USA,2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Norway pout,Trisopterus esmarkii,0,0.3,trimmings,,,NORWAY,2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Sprat,Sprattus sprattus,0.4,0.2,trimmings,,,"DENMARK, NORWAY",2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
Other,Other,1.7,3.4,trimmings,,,"DENMARK, NORWAY",2020,"
Skretting. 2020. ENVIRONMENTAL FOOTPRINT OF SKRETTING NORWAY SALMON FEED."
